Row,Long,Lat,Segment,ObjectID,LHDCode,LHDName,LHDSegment
1,151.6387,-33.1757,1,0,X770,Central Coast,X770.s1
2,151.637,-33.177,1,0,X770,Central Coast,X770.s1
3,151.6331,-33.1756,1,0,X770,Central Coast,X770.s1
4,151.6298,-33.1776,1,0,X770,Central Coast,X770.s1
5,151.6283,-33.1791,1,0,X770,Central Coast,X770.s1
6,151.6301,-33.185,1,0,X770,Central Coast,X770.s1
7,151.6282,-33.1856,1,0,X770,Central Coast,X770.s1
8,151.6293,-33.1871,1,0,X770,Central Coast,X770.s1
9,151.6228,-33.188,1,0,X770,Central Coast,X770.s1
10,151.6219,-33.1906,1,0,X770,Central Coast,X770.s1
11,151.6241,-33.194,1,0,X770,Central Coast,X770.s1
12,151.6222,-33.1954,1,0,X770,Central Coast,X770.s1
13,151.6251,-33.198,1,0,X770,Central Coast,X770.s1
14,151.6201,-33.1981,1,0,X770,Central Coast,X770.s1
15,151.6201,-33.1997,1,0,X770,Central Coast,X770.s1
16,151.6181,-33.1995,1,0,X770,Central Coast,X770.s1
17,151.6164,-33.2024,1,0,X770,Central Coast,X770.s1
18,151.6121,-33.2021,1,0,X770,Central Coast,X770.s1
19,151.5998,-33.2107,1,0,X770,Central Coast,X770.s1
20,151.5761,-33.2316,1,0,X770,Central Coast,X770.s1
21,151.5666,-33.2443,1,0,X770,Central Coast,X770.s1
22,151.5631,-33.2529,1,0,X770,Central Coast,X770.s1
23,151.5637,-33.2579,1,0,X770,Central Coast,X770.s1
24,151.5618,-33.2621,1,0,X770,Central Coast,X770.s1
25,151.5636,-33.2717,1,0,X770,Central Coast,X770.s1
26,151.5674,-33.2762,1,0,X770,Central Coast,X770.s1
27,151.5675,-33.2785,1,0,X770,Central Coast,X770.s1
28,151.5722,-33.2787,1,0,X770,Central Coast,X770.s1
29,151.574,-33.2807,1,0,X770,Central Coast,X770.s1
30,151.5765,-33.2794,1,0,X770,Central Coast,X770.s1
31,151.579,-33.2822,1,0,X770,Central Coast,X770.s1
32,151.5717,-33.2857,1,0,X770,Central Coast,X770.s1
33,151.5703,-33.2895,1,0,X770,Central Coast,X770.s1
34,151.5642,-33.2918,1,0,X770,Central Coast,X770.s1
35,151.5626,-33.2944,1,0,X770,Central Coast,X770.s1
36,151.564,-33.2966,1,0,X770,Central Coast,X770.s1
37,151.5579,-33.2966,1,0,X770,Central Coast,X770.s1
38,151.5503,-33.2998,1,0,X770,Central Coast,X770.s1
39,151.5253,-33.315,1,0,X770,Central Coast,X770.s1
40,151.5091,-33.3314,1,0,X770,Central Coast,X770.s1
41,151.5031,-33.3439,1,0,X770,Central Coast,X770.s1
42,151.5019,-33.3438,1,0,X770,Central Coast,X770.s1
43,151.5028,-33.3269,1,0,X770,Central Coast,X770.s1
44,151.5106,-33.3253,1,0,X770,Central Coast,X770.s1
45,151.5154,-33.318,1,0,X770,Central Coast,X770.s1
46,151.522,-33.3012,1,0,X770,Central Coast,X770.s1
47,151.5431,-33.2821,1,0,X770,Central Coast,X770.s1
48,151.5456,-33.2777,1,0,X770,Central Coast,X770.s1
