"LHD Name","LGA Name","Year","Rate","Lower CI","Upper CI","Women Population","Women Screened"
Central Coast LHD,Central Coast LHD,2014-2015,49.1,48.7,49.6,51698,25400
Central Coast LHD,Central Coast LHD,2013-2014,48.6,48.1,49.0,50781,24660
Central Coast LHD,Central Coast LHD,2016-2017,52.7,52.3,53.2,53295,28104
Central Coast LHD,Central Coast LHD,2011-2012,44.5,44.0,44.9,48184,21418
Central Coast LHD,Central Coast LHD,2012-2013,45.4,44.9,45.8,49471,22438
Central Coast LHD,Central Coast LHD,2015-2016,49.6,49.1,50.0,52409,25976
Central Coast LHD,Gosford,2015-2016,49.7,49.1,50.3,27521,13678
Central Coast LHD,Gosford,2012-2013,44.7,44.1,45.3,26072,11649
Central Coast LHD,Gosford,2016-2017,52.9,52.3,53.4,27921,14760
Central Coast LHD,Gosford,2014-2015,49.3,48.7,49.9,27098,13355
Central Coast LHD,Gosford,2013-2014,48.8,48.2,49.4,26622,12994
Central Coast LHD,Gosford,2011-2012,44.1,43.5,44.7,25491,11251
Central Coast LHD,Wyong,2014-2015,49.0,48.3,49.6,24600,12045
Central Coast LHD,Wyong,2013-2014,48.3,47.7,48.9,24159,11666
Central Coast LHD,Wyong,2016-2017,52.6,52.0,53.2,25374,13344
Central Coast LHD,Wyong,2011-2012,44.8,44.2,45.4,22693,10167
Central Coast LHD,Wyong,2015-2016,49.4,48.8,50.0,24888,12298
Central Coast LHD,Wyong,2012-2013,46.1,45.5,46.7,23399,10789
Far West LHD,Balranald,2013-2014,39.4,34.2,44.7,327,129
Far West LHD,Balranald,2015-2016,37.4,32.2,42.6,334,125
Far West LHD,Balranald,2012-2013,39.6,34.3,44.9,326,129
Far West LHD,Balranald,2014-2015,,,,,
Far West LHD,Balranald,2016-2017,37.4,32.2,42.5,340,127
Far West LHD,Balranald,2011-2012,33.8,28.7,39.0,325,110
Far West LHD,Broken Hill,2013-2014,64.5,62.7,66.2,2994,1930
Far West LHD,Broken Hill,2015-2016,64.1,62.4,65.8,3046,1953
Far West LHD,Broken Hill,2016-2017,61.4,59.6,63.1,3042,1867
Far West LHD,Broken Hill,2014-2015,66.1,64.4,67.8,3014,1993
Far West LHD,Broken Hill,2011-2012,55.3,53.5,57.1,2994,1656
