Chart /Table ID,Chart / Table title,LHD,Year,Footnotes Order,Symbol / Index,Foonotes
1,Bowel screening participation rate by State,,2014-2015 and 2015-2016,1,N= ,Number of invitations sent 2015-2016
1,Bowel screening participation rate by State,,2014-2015 and 2015-2016,,,
1,Bowel screening participation rate by State,,2014-2015 and 2015-2016,2,Notes:,
1,Bowel screening participation rate by State,,2014-2015 and 2015-2016,3,1,Data Source: AIHW Bowel Screening Monitoring Report 2018 and 2017
1,Bowel screening participation rate by State,,2014-2015 and 2015-2016,4,2,The participation rates reported here may be slightly different from the charts following as the data is from different sources.
2,Annual bowel screening participation rate* for NSW people aged 50-74,by LHD (ranked),2016 and 2017,1,N=,"Number eligible for screening in the population, 2017."
2,Annual bowel screening participation rate* for NSW people aged 50-74,by LHD (ranked),2016 and 2017,2,*,"The participation rate is the proportion of the eligible population invited to the National Bowel Cancer Screening Program (NBCSP), who returned a completed immunochemical faecal occult blood test (iFOBT). For eligibility criteria, please refer to the 'Technical document' in the Appendices for full definitions."
2,Annual bowel screening participation rate* for NSW people aged 50-74,by LHD (ranked),2016 and 2017,,,
2,Annual bowel screening participation rate* for NSW people aged 50-74,by LHD (ranked),2016 and 2017,3,Notes:,
2,Annual bowel screening participation rate* for NSW people aged 50-74,by LHD (ranked),2016 and 2017,4,1,"As a result of different cut-off dates for iFOBT data from the NBCSP Register, participation rates shown in this report vary slightly from Australian Institute of Health and Welfare published data."
3,Annual bowel screening participation rate* for NSW people aged 50-74,by LGA (ranked by 2017 population),2016 and 2017,1,N=,"Number eligible for screening in the population, 2017."
3,Annual bowel screening participation rate* for NSW people aged 50-74,by LGA (ranked by 2017 population),2016 and 2017,2,*,"The participation rate is the proportion of the eligible population invited to the National Bowel Cancer Screening Program (NBCSP), who returned a completed immunochemical faecal occult blood test (iFOBT). For eligibility criteria, please refer to the 'Technical document' in the Appendices for full definitions."
3,Annual bowel screening participation rate* for NSW people aged 50-74,by LGA (ranked by 2017 population),2016 and 2017,,,
3,Annual bowel screening participation rate* for NSW people aged 50-74,by LGA (ranked by 2017 population),2016 and 2017,3,Notes:,
3,Annual bowel screening participation rate* for NSW people aged 50-74,by LGA (ranked by 2017 population),2016 and 2017,4,1,"As a result of different cut-off dates for iFOBT data from the NBCSP Register, participation rates shown in this report vary slightly from Australian Institute of Health and Welfare published data."
