lhd,LGA,year,calc_rate,calc_LCI,calc_UCI,calc_inv
Central Coast LHD,Central Coast LHD,2014,0.335,0.328,0.342,19749
Central Coast LHD,Gosford,2014,0.337,0.328,0.346,10506
Central Coast LHD,Wyong,2014,0.333,0.323,0.342,9243
Far West LHD,Balranald,2014,0.378,0.294,0.462,127
Far West LHD,Broken Hill,2014,0.374,0.343,0.405,943
Far West LHD,Central Darling,2014,0.211,0.129,0.293,95
Far West LHD,Far West LHD,2014,0.365,0.341,0.388,1584
Far West LHD,Unincorporated NSW,2014,0.369,0.273,0.465,97
Far West LHD,Wentworth,2014,0.376,0.323,0.429,322
Hunter New England LHD,Armidale Dumaresq,2014,0.391,0.366,0.417,1413
Hunter New England LHD,Cessnock,2014,0.334,0.317,0.35,3100
Hunter New England LHD,Dungog,2014,0.397,0.359,0.434,658
Hunter New England LHD,Glen Innes Severn,2014,0.372,0.333,0.411,578
Hunter New England LHD,Gloucester,2014,0.41,0.36,0.461,363
Hunter New England LHD,Great Lakes,2014,0.396,0.377,0.415,2476
Hunter New England LHD,Greater Taree,2014,0.37,0.354,0.387,3312
Hunter New England LHD,Gunnedah,2014,0.383,0.344,0.421,609
Hunter New England LHD,Guyra,2014,0.316,0.261,0.371,275
Hunter New England LHD,Gwydir,2014,0.349,0.288,0.41,235
Hunter New England LHD,Hunter New England LHD,2014,0.361,0.356,0.365,52437
Hunter New England LHD,Inverell,2014,0.384,0.352,0.415,928
Hunter New England LHD,Lake Macquarie,2014,0.368,0.36,0.377,12562
Hunter New England LHD,Liverpool Plains,2014,0.31,0.269,0.352,477
Hunter New England LHD,Maitland,2014,0.344,0.329,0.359,4026
Hunter New England LHD,Moree Plains,2014,0.316,0.28,0.353,629
Hunter New England LHD,Muswellbrook,2014,0.332,0.299,0.364,793
Hunter New England LHD,Narrabri,2014,0.328,0.294,0.362,726
Hunter New England LHD,Newcastle,2014,0.355,0.345,0.365,8788
Hunter New England LHD,Port Stephens,2014,0.366,0.352,0.381,4273
Hunter New England LHD,Singleton,2014,0.363,0.336,0.391,1172
Hunter New England LHD,Tamworth Regional,2014,0.357,0.34,0.373,3305
Hunter New England LHD,Tenterfield,2014,0.291,0.245,0.338,370
Hunter New England LHD,Upper Hunter Shire,2014,0.322,0.289,0.355,764
Hunter New England LHD,Uralla,2014,0.384,0.337,0.431,409
Hunter New England LHD,Walcha,2014,0.367,0.3,0.435,196
Illawarra Shoalhaven LHD,Illawarra Shoalhaven LHD,2014,0.364,0.357,0.37,23463
Illawarra Shoalhaven LHD,Kiama,2014,0.39,0.364,0.415,1445
Illawarra Shoalhaven LHD,Shellharbour,2014,0.36,0.345,0.374,4035
Illawarra Shoalhaven LHD,Shoalhaven,2014,0.383,0.371,0.395,6262
Illawarra Shoalhaven LHD,Wollongong,2014,0.351,0.343,0.36,11721
Mid North Coast LHD,Bellingen,2014,0.341,0.312,0.37,1033
Mid North Coast LHD,Coffs Harbour,2014,0.38,0.366,0.393,4990
Mid North Coast LHD,Kempsey,2014,0.356,0.336,0.377,2059
Mid North Coast LHD,Mid North Coast LHD,2014,0.372,0.364,0.38,14532
Mid North Coast LHD,Nambucca,2014,0.363,0.338,0.388,1419
Mid North Coast LHD,Port Macquarie-Hastings,2014,0.38,0.366,0.393,5031
Murrumbidgee LHD,Albury,2014,0.402,0.384,0.42,2714
Murrumbidgee LHD,Berrigan,2014,0.389,0.347,0.431,519
Murrumbidgee LHD,Bland,2014,0.315,0.264,0.365,321
Murrumbidgee LHD,Boorowa,2014,0.352,0.278,0.426,159
Murrumbidgee LHD,Carrathool,2014,0.345,0.267,0.422,145
Murrumbidgee LHD,Conargo,2014,0.296,0.124,0.469,27
Murrumbidgee LHD,Coolamon,2014,0.383,0.318,0.448,214
Murrumbidgee LHD,Cootamundra,2014,0.366,0.325,0.407,527
Murrumbidgee LHD,Corowa Shire,2014,0.408,0.371,0.445,674
Murrumbidgee LHD,Deniliquin,2014,0.328,0.273,0.384,274
Murrumbidgee LHD,Greater Hume Shire,2014,0.356,0.317,0.395,578
Murrumbidgee LHD,Griffith,2014,0.313,0.288,0.338,1332
Murrumbidgee LHD,Gundagai,2014,0.376,0.309,0.443,202
Murrumbidgee LHD,Harden,2014,0.338,0.275,0.402,213
Murrumbidgee LHD,Hay,2014,0.288,0.221,0.355,177
Murrumbidgee LHD,Jerilderie,2014,0.367,0.261,0.473,79
Murrumbidgee LHD,Junee,2014,0.314,0.259,0.369,274
Murrumbidgee LHD,Lachlan,2014,0.265,0.169,0.361,82
Murrumbidgee LHD,Leeton,2014,0.318,0.28,0.356,572
Murrumbidgee LHD,Lockhart,2014,0.344,0.275,0.414,180
Murrumbidgee LHD,Murray,2014,0.415,0.376,0.454,624
Murrumbidgee LHD,Murrumbidgee,2014,0.349,0.272,0.426,149
Murrumbidgee LHD,Murrumbidgee LHD,2014,0.36,0.352,0.367,15629
Murrumbidgee LHD,Narrandera,2014,0.261,0.214,0.308,341
Murrumbidgee LHD,Temora,2014,0.378,0.327,0.43,341
Murrumbidgee LHD,Tumbarumba,2014,0.368,0.304,0.432,220
Murrumbidgee LHD,Tumut Shire,2014,0.36,0.321,0.399,589
Murrumbidgee LHD,Urana,2014,0.441,0.34,0.542,93
Murrumbidgee LHD,Wagga Wagga,2014,0.349,0.332,0.366,3105
Murrumbidgee LHD,Wakool,2014,0.414,0.35,0.478,227
Murrumbidgee LHD,Young,2014,0.341,0.305,0.377,677
NSW,NSW,2014,0.338,0.337,0.34,424715
Nepean Blue Mountains LHD,Blue Mountains,2014,0.354,0.342,0.367,5860
Nepean Blue Mountains LHD,Hawkesbury,2014,0.321,0.307,0.335,4060
Nepean Blue Mountains LHD,Lithgow,2014,0.317,0.293,0.341,1443
Nepean Blue Mountains LHD,Nepean Blue Mountains LHD,2014,0.32,0.314,0.326,21928
Nepean Blue Mountains LHD,Penrith,2014,0.301,0.292,0.31,10565
Northern NSW LHD,Ballina,2014,0.375,0.357,0.393,2790
Northern NSW LHD,Byron,2014,0.327,0.309,0.345,2560
Northern NSW LHD,Clarence Valley,2014,0.36,0.345,0.376,3572
Northern NSW LHD,Kyogle,2014,0.402,0.366,0.439,681
Northern NSW LHD,Lismore,2014,0.369,0.352,0.386,3048
Northern NSW LHD,Northern NSW LHD,2014,0.357,0.351,0.364,19739
Northern NSW LHD,Richmond Valley,2014,0.33,0.305,0.355,1375
Northern NSW LHD,Urbenville,2014,0.291,0.123,0.46,28
Northern NSW LHD,Tweed,2014,0.356,0.343,0.368,5685
Northern Sydney LHD,Hornsby,2014,0.36,0.351,0.369,10453
Northern Sydney LHD,Hunters Hill,2014,0.337,0.305,0.369,846
Northern Sydney LHD,Ku-ring-gai,2014,0.369,0.359,0.38,7786
Northern Sydney LHD,Lane Cove,2014,0.345,0.324,0.366,1954
Northern Sydney LHD,Manly,2014,0.396,0.376,0.416,2324
Northern Sydney LHD,Mosman,2014,0.332,0.31,0.353,1797
Northern Sydney LHD,North Sydney,2014,0.353,0.338,0.369,3642
Northern Sydney LHD,Northern Sydney LHD,2014,0.361,0.357,0.365,52101
Northern Sydney LHD,Pittwater,2014,0.375,0.36,0.39,4157
Northern Sydney LHD,Ryde,2014,0.346,0.334,0.358,6290
Northern Sydney LHD,Warringah,2014,0.367,0.357,0.377,8630
Northern Sydney LHD,Willoughby,2014,0.357,0.343,0.372,4222
South Eastern Sydney LHD,Botany Bay,2014,0.285,0.267,0.304,2287
South Eastern Sydney LHD,Hurstville,2014,0.34,0.327,0.353,4996
South Eastern Sydney LHD,Kogarah,2014,0.333,0.317,0.349,3357
South Eastern Sydney LHD,Randwick,2014,0.32,0.309,0.331,6891
South Eastern Sydney LHD,Rockdale,2014,0.298,0.287,0.31,5734
South Eastern Sydney LHD,South Eastern Sydney LHD,2014,0.315,0.31,0.319,46773
South Eastern Sydney LHD,Sutherland Shire,2014,0.327,0.319,0.335,13487
South Eastern Sydney LHD,Sydney,2014,0.296,0.281,0.311,3430
South Eastern Sydney LHD,Unincorporated NSW,2014,0.369,0.238,0.5,52
South Eastern Sydney LHD,Waverley,2014,0.287,0.271,0.302,3252
South Eastern Sydney LHD,Woollahra,2014,0.29,0.275,0.306,3287
South Western Sydney LHD,Bankstown,2014,0.31,0.301,0.319,10790
South Western Sydney LHD,Camden,2014,0.322,0.306,0.338,3281
South Western Sydney LHD,Campbelltown,2014,0.289,0.28,0.298,9240
South Western Sydney LHD,Fairfield,2014,0.338,0.33,0.347,12347
South Western Sydney LHD,Liverpool,2014,0.291,0.282,0.3,10192
South Western Sydney LHD,South Western Sydney LHD,2014,0.316,0.312,0.32,51597
South Western Sydney LHD,Wingecarribee,2014,0.357,0.34,0.374,3056
South Western Sydney LHD,Wollondilly,2014,0.363,0.345,0.382,2691
Southern NSW LHD,Bega Valley,2014,0.446,0.426,0.465,2556
Southern NSW LHD,Bombala,2014,0.366,0.296,0.436,183
Southern NSW LHD,Cooma-Monaro,2014,0.36,0.322,0.399,605
Southern NSW LHD,Eurobodalla,2014,0.391,0.373,0.409,2842
Southern NSW LHD,Goulburn Mulwaree,2014,0.35,0.328,0.372,1785
Southern NSW LHD,Palerang,2014,0.393,0.362,0.423,1014
Southern NSW LHD,Queanbeyan,2014,0.353,0.333,0.372,2240
Southern NSW LHD,Snowy River,2014,0.344,0.297,0.391,395
Southern NSW LHD,Southern NSW LHD,2014,0.385,0.377,0.394,13048
Southern NSW LHD,Upper Lachlan Shire,2014,0.39,0.349,0.431,546
Southern NSW LHD,Yass Valley,2014,0.379,0.347,0.411,882
Sydney LHD,Ashfield,2014,0.333,0.314,0.351,2421
Sydney LHD,Burwood,2014,0.314,0.294,0.335,1959
Sydney LHD,Canada Bay,2014,0.327,0.313,0.341,4507
Sydney LHD,Canterbury,2014,0.291,0.281,0.301,8140
Sydney LHD,Leichhardt,2014,0.338,0.322,0.354,3355
Sydney LHD,Marrickville,2014,0.337,0.323,0.351,4232
Sydney LHD,Strathfield,2014,0.286,0.266,0.306,1946
Sydney LHD,Sydney,2014,0.296,0.283,0.309,4603
Sydney LHD,Sydney LHD,2014,0.313,0.307,0.318,31163
Western NSW LHD,Bathurst Regional,2014,0.368,0.348,0.388,2245
Western NSW LHD,Blayney,2014,0.351,0.307,0.395,447
Western NSW LHD,Bogan,2014,0.283,0.205,0.362,127
Western NSW LHD,Bourke,2014,0.262,0.178,0.345,107
Western NSW LHD,Brewarrina,2014,0.171,0.086,0.256,76
Western NSW LHD,Cabonne,2014,0.368,0.331,0.404,669
Western NSW LHD,Cobar,2014,0.317,0.256,0.378,224
Western NSW LHD,Coonamble,2014,0.225,0.167,0.283,200
Western NSW LHD,Cowra,2014,0.332,0.298,0.366,723
Western NSW LHD,Dubbo,2014,0.335,0.314,0.356,2027
Western NSW LHD,Forbes,2014,0.358,0.316,0.4,503
Western NSW LHD,Gilgandra,2014,0.287,0.231,0.343,251
Western NSW LHD,Lachlan,2014,0.265,0.208,0.322,231
Western NSW LHD,Mid-Western Regional,2014,0.358,0.332,0.384,1299
Western NSW LHD,Narromine,2014,0.295,0.247,0.344,342
Western NSW LHD,Oberon,2014,0.38,0.328,0.432,337
Western NSW LHD,Orange,2014,0.357,0.337,0.376,2323
Western NSW LHD,Parkes,2014,0.352,0.32,0.384,856
Western NSW LHD,Walgett,2014,0.262,0.213,0.311,313
Western NSW LHD,Warren,2014,0.268,0.194,0.342,138
Western NSW LHD,Warrumbungle Shire,2014,0.366,0.327,0.406,576
Western NSW LHD,Weddin,2014,0.279,0.22,0.338,222
Western NSW LHD,Wellington,2014,0.293,0.249,0.337,413
Western NSW LHD,Western NSW LHD,2014,0.341,0.333,0.348,14649
Western Sydney LHD,Auburn,2014,0.309,0.295,0.324,3989
Western Sydney LHD,Blacktown,2014,0.285,0.278,0.292,16607
Western Sydney LHD,Holroyd,2014,0.304,0.292,0.316,5380
Western Sydney LHD,Parramatta,2014,0.307,0.297,0.316,9074
Western Sydney LHD,The Hills Shire,2014,0.359,0.35,0.368,11273
Western Sydney LHD,Western Sydney LHD,2014,0.312,0.307,0.316,46323
Central Coast LHD,Central Coast LHD,2015,0.366,0.36,0.373,20890
Central Coast LHD,Gosford,2015,0.368,0.359,0.377,11124
Central Coast LHD,Wyong,2015,0.364,0.355,0.374,9766
Far West LHD,Balranald,2015,0.282,0.198,0.366,110
Far West LHD,Broken Hill,2015,0.334,0.305,0.363,991
Far West LHD,Central Darling,2015,0.173,0.1,0.246,104
Far West LHD,Far West LHD,2015,0.344,0.321,0.367,1681
Far West LHD,Unincorporated NSW,2015,0.406,0.314,0.497,111
Far West LHD,Wentworth,2015,0.419,0.369,0.47,365
Hunter New England LHD,Armidale Dumaresq,2015,0.433,0.407,0.458,1424
Hunter New England LHD,Cessnock,2015,0.356,0.339,0.373,3029
Hunter New England LHD,Dungog,2015,0.422,0.384,0.46,652
