"","dictionaryID","cancerInstituteName","sourceName","localDictID","elementUsageNotes"
"1","DE235","CBestDiagnosisBasisID","BestBasisOfDiagnosisId","CRC005","
CODE 2 Clinical investigation: diagnostic procedure code(s) only. No further information has been sighted by the Clinical Cancer Registry program.

CODE 67 Clinical: Determined by Cancer Information Manager 
Clinical diagnostic information has been sighted by the Clinical team and the Cancer Information Manager has determined the best basis of diagnosis available based on the evidence. This may include, but is not limited to, clinical notes, test results, images, and letters. This indicates a 'higher level of evidence' has been sighted than Code 2, procedure codes only.
CODE 66 Histopathology sighted by Central team:
Histopathology information has been sighted by the Central team and the coder has determined the best basis of diagnosis on the available evidence. This indicates a higher level of evidence has been sighted than Codes 6, 7 and 8. 
General comments:
The most valid basis of diagnosis may be the initial histological examination of the primary site, or it may be the post-mortem examination (sometimes corrected even at this point when histological results become available). In a cancer registry setting, this metadata item should be revised if later information allows its upgrading.

When considering the most valid basis of diagnosis, the minimum requirement of a cancer registry is differentiation between neoplasms that are verified microscopically and those that are not. To exclude the latter group means losing valuable information; the feasibility of making a morphological (histological) diagnosis is dependent upon a variety of factors, such as the health and age of the patient, accessibility of the tumour, availability of medical services, and the beliefs and decisions of the patient.

A biopsy of the primary tumour should be distinguished from a biopsy of a metastasis, for example, at laparotomy; a biopsy of cancer of the head of the pancreas versus a biopsy of a metastasis in the mesentery. However, when insufficient information is available, Code 8 should be used for any histological diagnosis. Cytological and histological diagnoses should be distinguished. 

Morphological confirmation of the clinical diagnosis of malignancy depends on the successful removal of a piece of tissue that is cancerous. Especially when using endoscopic procedures (bronchoscopy, gastroscopy, laparoscopy, etc.), the clinician may miss the tumour with the biopsy forceps. These cases must be registered on the basis of endoscopic diagnosis and not excluded through lack of a morphological diagnosis. 

Care must be taken in the interpretation and subsequent coding of autopsy findings, which may vary as follows: 

a) the post-mortem report includes the post-mortem histological diagnosis (in which case, one of the histology codes should be recorded instead);

b) the autopsy is macroscopic only, histological investigations having been carried out only during life (in which case, one of the histology codes should be recorded instead); 

c) the autopsy findings are not supported by any histological diagnosis.
"
"2","DE92","PCOBCode","COBCodeSacc","CRP007","
The Standard Australian Classification of Countries (SACC) is a four-digit, three-level hierarchical structure specifying major group, minor group and country.

A country, even if it comprises other discrete political entities such as states, is treated as a single unit for all data domain purposes. Parts of a political entity are not included in different groups. Thus, Hawaii is included in Northern America (as part of the identified country United States of America), despite being geographically close to and having similar social and cultural characteristics as the units classified to Polynesia.
"
"3","DE91","PBirthDateValidityCode","DateOfBirthValidityCode","CRP006","This data element is for use with the following data elements:
Patient?diagnosis date of cancer
Person?date of birth



The date accuracy indicator can be useful for operational purposes to indicate the level of accuracy of a date that has been collected at any point in time. It can indicate whether the stored date needs to be followed up until it reaches the intended minimum required accuracy.

For future users of the data it may also be essential they know the accuracy of the date components of a reported date.   

Example
Date of birth?the month and year are known, but not the day. Record 03


"
"4","DE400","CDiagnosisDateValidityCode","DateOfDiagnosisValidityCode","notAvailable",NA
"5","DE402","PDeathCauseID","DeathCauseId","notAvailable",NA
"6","DE346","CDegreeOfSpreadID","DegreeOfSpreadId","CRC015","
CODE 1     Localised to the tissue of origin
Includes a primary cancer where the spread is contained within the organ of origin. Note: this includes in situ breast (D05.0-D05.9) and in situ melanoma (D03.0-D03.9)
Example 1: For colon cancer, the cancer has not progressed into the adventitia (peritoneal layer) surrounding the colon.
Example 2: For breast cancer, the cancer has not progressed into the underlying muscle layer (pectoral) or externally to the skin.
Example 3: For melanoma of the skin, the cancer has not invaded the subcutaneous fat layer (that is, it is contained within the dermis and epidermis).
Example 4: For lung cancer, the cancer has not invaded the pleura.

CODE 2     Invasion of adjacent tissue or organs
A primary cancer has spread to adjacent organs or tissue not forming part of the organ of origin. This category includes sub-cutaneous fat or muscle and organs adjacent to the primary cancer site.
Example 1: For colon cancer, the cancer has progressed into the adventitia (peritoneal layer) surrounding the colon.
Example 2:For breast cancer, the degree of spread has progressed into the underlying muscle layer (pectoral) or externally into the skin.
Example 3: For melanoma of the skin, the cancer has invaded into subcutaneous fat or muscle.
Example 4: For lung cancer, the cancer has invaded the pleura or tissues of the mediastinum.

CODE 3     Regional lymph nodes
The primary cancer has metastasised to the nearby draining lymph nodes. The list below shows the regional lymph nodes by site of primary cancer (International Union Against Cancer's definition).
Head and neck - Cervical nodes
Larynx - Cervical nodes
Thyroid - Cervical and upper mediastinal nodes
Stomach - Perigastric nodes along the lesser and greater curvatures
Colon and Rectum - Pericolic, perirectal, and those located along the ileocolic, right colic, middle colic, left colic, inferior mesenteric and superior rectal
Anal - Perirectal, internal iliac, and inguinal lymph nodes
Liver - Hilar nodes, e.g. the hepatoduodenal ligament
Pancreas - Peripancreatic nodes
Lung - Intrathoracic, scalene and supraclavicular
Breast - Axillary, interpectoral, internal mammary
Cervix - Paracervical, parametrial, hypogastric, common, internal and external iliac, presacral and sacral
Ovary - Hypogastric (obturator), common iliac, external iliac, lateral, sacral, para-aortic and inguinal
Prostate and bladder - Pelvic nodes below the bifurcation of the common iliac arteries
Testes - Abdominal, para-aortic and paracaval nodes, the intrapelvic and inguinal nodes
Kidney - Hilar, abdominal, para-aortic or paracaval.

CODE 4     Distant metastases
The primary cancer has spread to sites distant to the primary site, for example liver and lung and bone, or any lymph nodes not stated as regional to the site (see '3 - Regional lymph nodes' above).

CODE 5     Not applicable
This category applies for lymphatic and haematopoietic cancers, e.g. myelomas, leukaemias and lymphomas (C81.0 - C96.9) only.

CODE 9     Unknown
No information is available on the degree of spread at this episode or the available information is insufficient to allow classification into one of the preceding categories."
"7","DE93","PIndigenousStatusID","IndigenousStatusId","CRP008","
This metadata item is based on the Australian Bureau of Statistics (ABS) standard for Indigenous status. For detailed advice on its use and application please refer to the ABS Website as indicated in the Reference documents. 

The classification for Indigenous status has a hierarchical structure comprising two levels. There are four categories at the detailed level of the classification which are grouped into two categories at the broad level. There is one supplementary category for 'not stated' responses. The classification is as follows: 

Indigenous: 

?Aboriginal but not Torres Strait Islander origin. 
?Torres Strait Islander but not Aboriginal origin. 
?Both Aboriginal and Torres Strait Islander origin. 
Non-Indigenous: 

?Neither Aboriginal nor Torres Strait Islander origin.
Not stated/ inadequately described: 

This category is not to be available as a valid answer to the questions but is intended for use: 

?Primarily when importing data from other data collections that do not contain mappable data. 
?Where an answer was refused. 
?Where the question was not able to be asked prior to completion of assistance because the client was unable to communicate or a person who knows the client was not available.
Only in the last two situations may the tick boxes on the questionnaire be left blank.
"
"8","DE224","CLaterality","Laterality","CRC004","
A value to indicate the laterality for paired organs (e.g. left for cancer in the left breast) or the side of the body of the cancer (e.g. left for melanoma in the left trunk).

Record the appropriate code at the time of diagnosis.

If the laterality is not known, select ""Unknown"". 

For all haematopoeitic and lymphatic malignancies select ""Not applicable"" (e.g. leukemia, lymphoma, myeloma).

Definitions

Right: 

Origin of primary site is on the right side of a paired organ, or on the right side of the body. 

Left:   

Origin of primary site is on the left side of a paired organ, or on the left side of the body. 

Please refer to the valid International Classification of Diseases for Oncology values for paired organs

"
"9","DE385","CBehaviourCode","notAvailable","notAvailable",NA
"10","DE380","CCancerGroup","notAvailable","notAvailable",NA
"11","DE378","CDiagnosisAge","notAvailable","notAvailable",NA
"12","DE377","CDiagnosisMonth","notAvailable","notAvailable",NA
"13","DE376","CDiagnosisYear","notAvailable","notAvailable",NA
"14","DE383","CICD03MorphologyCode3Digit","notAvailable","notAvailable",NA
"15","DE384","CICD03MorphologyCode4Digit","notAvailable","notAvailable",NA
"16","DE381","CICD03TopographyCode","notAvailable","notAvailable",NA
"17","DE382","CICD10AMTopographyCode","notAvailable","notAvailable",NA
"18","DE396","PARIA","notAvailable","notAvailable",NA
"19","DE375","PBirthDay","notAvailable","notAvailable",NA
"20","DE374","PBirthMonth","notAvailable","notAvailable",NA
"21","DE373","PBirthYear","notAvailable","notAvailable",NA
"22","DE391","PDeathAge","notAvailable","notAvailable",NA
"23","DE389","PDeathDay","notAvailable","notAvailable",NA
"24","DE388","PDeathMonth","notAvailable","notAvailable",NA
"25","DE387","PDeathYear","notAvailable","notAvailable",NA
"26","DE392","PICD03DeathCauseCode","notAvailable","notAvailable",NA
"27","DE393","PICD10AMDeathCauseCode","notAvailable","notAvailable",NA
"28","DE394","PLGA2006","notAvailable","notAvailable",NA
"29","DE398","PLHD2011","notAvailable","notAvailable",NA
"30","DE386","PPrimarySites","notAvailable","notAvailable",NA
"31","DE399","PPrimayHealthNetwork2015","notAvailable","notAvailable",NA
"32","DE397","PSEIFA","notAvailable","notAvailable",NA
"33","DE395","PSLA2006","notAvailable","notAvailable",NA
"34","DE372","PDeathPlace","PlaceOfDeath","notAvailable",NA
"35","DE97","PPostcode","Postcode","CRP012","
Australian postal addresses should include a valid postcode. Refer to the Australia Post Address Presentation Standard for rules on presentation and positioning of postcodes on mail.

For a full list of Australian postcodes visit the Australia Post website: www.auspost.com.au

This data element may be used in the analysis of data on a geographical basis which involves a conversion from postcodes to the Australian Bureau of Statistics (ABS) postal areas. This conversion results in some inaccuracy of information as postcodes do not have a geographic definition and boundaries are not well defined. However, in some data sets postcode is the only geographic identifier, therefore the use of other more accurate indicators (e.g. Statistical areas - SA) is not always possible. 

When dealing with aggregate data, postal areas, converted from postcodes, can be mapped to Australian Statistical Geography Standard (ASGS) codes using an ABS concordance, for example to determine SA1s. For a more advanced concordance, locality, postcode and state, which are all part of an address, used in conjunction can effectively code data to the SA2 level and above in the ASGS.

This data element is one of a number of items that can be used to create a primary address, as recommended by the AS 4590-2006 Interchange of client information standard. Components of the primary address are:

?Address site (or Primary complex) name 
?Address number or number range 
?Road name (name/type/suffix) 
?Locality 
?State/Territory 
?Postcode (optional) 
?Country (if applicable)."
"36","DE88","PSex","Sex","CRP004","
Operationally, sex is the distinction between male and female, as reported by a person or as determined by an interviewer. 

Values 3 and 9 are accepted for primary data collection. These values are reconciled during processing and are not available for reporting.

"
