dataAssetID,Owning organisation,Owning business unit,Name,Asset ID,Version,Emergency shutdown contact,Emergency shutdown organisation,Coverage start date,Coverage end date,Data limiting marker,Update frequency,Currently active,Used in shared dictionary,Governed as external data,Available for analytics,Usage notes available,Data location,Description,Data location type,Under review,Utilizes external data,Type
1,Cancer Institute NSW,Cancer Services and Information,Analytics - NSWCR Minimum Dataset,A1,1,"Paul Crees, CI-IT",CI-IT,1972-01-01,NA,Sensitive - Health Information,Ad-hoc,Yes,Yes,No,Yes,TBD,TBA,"This analytics dataset holds registry data elements from the NSWCR application, and currently includes incidence, mortality and a small amount of clinical items. The NSWCR application contains demographic, clinical and death details for people diagnosed or treated with cancer in NSW. Data is received from pathology laboratories, hospitals, radiation oncology and medical oncology departments, aged care facilities and the NSW Registry of Births, Deaths and Marriages. As of 1 January 2018, coded cancer notifications are available from 1972 to 2013. More recent cancer notifications are not yet coded and are available from the NSW Cancer Registry workflow. The NSW Cancer Registry is held by Cancer Institute NSW.",Internal Server,Yes,No,Analytics
2,Cancer Institute NSW,Cancer Services and Information,Extract - Public Health Register Data,A2,1,"Paul Crees, CI-IT",CI-IT,2018-09-07,NA,Sensitive - Health Information,Ad-hoc,Yes,Yes,Yes,Yes,TBD,CISQL03PRD/AUXILIARY_PUBLIC_HEALTH_REGISTER,"This extract holds the Public Health Register, a linked data set that includes: Cause of Death Unit Record File data, NSWCR Minimum Dataset, RBDMS Registrations, NSWCR Outpatient Systemic Therapy Notifications, NSWCR  Outpatient Radio Oncology Data, APDC data, and EDDC data. This dataset can be used by approved staff for internal analytics only.",Internal Server,Yes,No,Extract
3,Cancer Institute NSW,Strategic Research and Investment,System - Clinical Trials Web Application,A3,1,"Paul Crees, CI-IT",CI-IT,2018-09-07,NA,Sensitive - Health Information,Weekly,Yes,No,No,No,TBD,TBA,"The Clinical Trials Application tracks and monitors recruitment of participants to clinical trials in NSW. Data is governed under the Cancer Institute (NSW) Act 2003, Government Information (Public) Access Act 2009, Privacy and Personal Information Protection Act 1998, and the State Records Act 1988.",Internal Server,Yes,No,System
4,Cancer Institute NSW,Cancer Services and Information,System - NSWCR Application,A4,1,"Paul Crees, CI-IT",CI-IT,2018-09-07,NA,Sensitive - Health Information,Annually,Yes,No,No,No,TBD,TBA,"The NSW Cancer Registry application contains demographic, clinical and death details for people diagnosed or treated with cancer in NSW. Data is received from pathology laboratories, hospitals, radiation oncology and medical oncology departments, aged care facilities and the NSW Registry of Births, Deaths and Marriages. As of 1 January 2018, coded cancer notifications are available from 1972 to 2013. More recent cancer notifications are not yet coded and are available from the NSW Cancer Registry workflow. The NSW Cancer Registry is held by Cancer Institute NSW.",Internal Server,Yes,No,System
5,Cancer Institute NSW,Strategic Research and Investment,Analytics - Clinical Trials Dataset,A5,1,"Paul Crees, CI-IT",CI-IT,2018-01-01,NA,Sensitive - Health Information,Daily,No,No,No,No,To track and monitor recruitment of participants to clinical trials in NSW,TBA,"An analytics dataset holding the tracking and monitoring data of recruitment of participants to clinical trials in NSW Cancer Institute (NSW) Act 2003, Government Information (Public) Access Act 2009, Privacy and Personal Information Protection Act 1998, State Records Act 1988",Internal Server,Yes,No,Analytics
6,Cancer Institute NSW,Strategic Research and Investment,Extract - Clinical Trials Patient Demographic Data,A6,1,"Paul Crees, CI-IT",CI-IT,2018-09-07,NA,Sensitive - Personal,Ad-hoc,Yes,No,No,No,TBD,TBA,"An extract of demographic data for patients recruited into Clinical Trials in NSW. Cancer Institute (NSW) Act 2003, Government Information (Public) Access Act 2009, Privacy and Personal Information Protection Act 1998, State Records Act 1988",Internal Server,Yes,No,Extract
7,Cancer Institute NSW,Strategic Research and Investment,Analytics - Clinical Trials Patient Demographics Dataset,A7,1,"Paul Crees, CI-IT",CI-IT,2018-01-01,NA,Sensitive - Health Information,Ad-hoc,Yes,No,No,Yes,TBD,TBA,"An analytics dataset of demographic data for patients recruited into Clinical Trials in NSW. Cancer Institute (NSW) Act 2003, Government Information (Public) Access Act 2009, Privacy and Personal Information Protection Act 1998, State Records Act 1988",Internal Server,Yes,No,Analytics
8,Cancer Institute NSW,Cancer Screening and Prevention,Analytics - BreastScreen NSW Minimum Dataset,A7,1,"Paul Crees, CI-IT",CI-IT,1991-01-01,NA,Sensitive - Health Information,Annually,Yes,No,No,Yes,TBD,TBA,This analytics set is derived from the BreastScreen Information System. BreastScreen NSW is a dataset taken from a national program which is jointly funded by the Commonwealth and state and territory government. It is the central data holder for the results of all mammograms that have taken place in NSW as part of this program. BreastScreen NSW collects information on breast screening services within the prgram for women aged 40 years and over in NSW. Data is collected in the BIS System and PACS datastore,Internal Server,Yes,No,Analytics
9,Cancer Institute NSW,Strategic Research and Investment,System - Grants Management Web Application,A8,1,"Paul Crees, CI-IT",CI-IT,2018-09-07,NA,Sensitive - Health Information,Weekly,Yes,No,No,No,TBD,TBA,"The Grants Management System operated by F1 Solutions Omnistar. This system is used for tracking all grant applications coming into the Cancer Institute. The extract consists copy of of all tables is taken from the source system on a quarterly basis. Data held in this system is governed under the Cancer Institute (NSW) Act 2003, Government Information (Public) Access Act 2009, and the State Records Act 1988.",Internal Server,Yes,No,System
10,Cancer Institute NSW,Strategic Research and Investment,Analytics - Grants Management Dataset,A8,1,"Paul Crees, CI-IT",CI-IT,2018-01-01,NA,Sensitive - Health Information,Weekly,Yes,No,No,Yes,TBD,TBA,"This dataset is created from the extract is taken from the Grants Management System operated by F1 Solutions Omnistar. This system is used for tracking all grant applications coming into the Cancer Institute. The extract consists copy of of all tables is taken from the source system on a quarterly basis. Data is governed under the Cancer Institute (NSW) Act 2003, Government Information (Public) Access Act 2009, and State Records Act 1988.",Internal Server,Yes,No,Analytics
