Dictionary ID,In Landing,Cancer Institute Name,Cancer Institute Category,Definition,Type,Null values permitted,Accepted Values
DE425,1,ABSDeathCauseCode,Needs category,,varchar(4),1.0,Code
DE517,1,ABSDeathCauseCode,Needs category,,varchar(4),1.0,Code
DE518,1,AccommTypeId,Needs category,,Integer,1.0,Code
DE404,1,ActualDose,Needs category,,Float,1.0,Numeric Value (NNN.NN)
DE426,1,ActualFractions,Needs category,,Integer,1.0,Numeric Value
DE341,1,CAdjacentDCISNotification,Needs category,"An indicator of whether DCIS is present in the breast tissue adjacent to the invasive tumour, as represented by a code.",varchar(50),1.0,Code
DE385,0,CBehaviourCode,Case,"Derived from NSWCR source system CRC002, CRC003",,,
DE556,1,CBestBasisRecurrenceID,Case,"The most valid basis of diagnosis of the first recurrence of a cancer or distant metastasis in a person with cancer, as represented by a code.",Integer,1.0,Code
DE235,1,CBestDiagnosisBasisID,Case,"The most valid basis of diagnosis in a person with cancer, as represented by a code.",Integer,1.0,Code
DE140,1,CBestDiagnosisBasisIDNotification,Case,"The most valid basis of diagnosis in a person with cancer, as represented by a code.",Integer,1.0,Code
DE371,1,CBestRecurenceBasisID,Case,"Thre is no corresponding NSWCR dict it, but looks to be based on NOT133",,,
DE172,1,CBestRecurrenceBasisIDNotification,Case,"The most valid basis of diagnosis of the first recurrence of a cancer or distant metastasis in a person with cancer, as represented by a code.",Integer,1.0,Code
DE344,1,CBreastDateLastContactNotification,Needs category,The date of last contact with the patient.,varchar(50),1.0,DDMMYYYY
DE343,1,CBreastSiteDistantMetsNotification,Needs category,"The location of distant metastasis in a person with cancer, as represented by a code.",varchar(50),1.0,Code
DE345,1,CBreastStatusLastContactNotification,Needs category,Records the presence or absence of clinical evidence of the patient?s tumour as applying at the date of last contact.,varchar(50),1.0,Code
DE289,1,CBreastTumourCellsDiameterNotification,Case,The maximum diameter in millimetres of the furthest points of extension of the tumour cells.,Float,1.0,Numeric Value (NNN.NN)
DE380,0,CCancerGroup,Case,Derived from NSWCR source system CRC002. This appears to be 1 - 1,,,
DE201,1,CCancerSiteCodeID,Case,"The site in which the tumour originated in a person with cancer, as opposed to the secondary or metastatic sites, as represented by a code",Integer,1.0,Code
DE68,1,CCancerSiteCodeIDNotification,Case,"The site in which the tumour originated in a person with cancer, as opposed to the secondary or metastatic sites, as represented by a code.",Integer,1.0,ICD Code
DE257,1,CClassOfCaseID,Case,An indicator of the state/territory in which a person with cancer was diagnosed and treated. ,Integer,1.0,Code
DE142,1,CClassOfCaseIDNotification,Case,An indicator of the state/territory in which a person with cancer was diagnosed and treated. ,Integer,1.0,Code
DE405,1,CClinicalCancerSiteCodeID,Case,,Integer,1.0,Code
DE309,1,CColorectalTumourDimensionsNotification,Case,"The largest dimension of a solid tumour, measured in millimetres.",Float,1.0,Numeric Value (NNN.NN)
DE348,1,CCRCRecurrDateNotification,Needs category,"The date on which a patient is diagnosed with the first recurrence of a cancer, expressed as DDMMYYYY.",Date,1.0,DDMMYYYY
DE347,1,CCRCRecurrSiteNotification,Needs category,The anatomical position of the tumour expressed as a diagnosis at first distant recurrence.,varchar(50),1.0,Code
DE339,1,CDateOfDistantMetastisisDiagnosisNotification,Case,The date a medical practitioner confirms the diagnosis of the distant metastasis recorded at last contact.,Date,1.0,DDMMYYYY
DE357,1,CDegreeOfSpreadClinicalID,Case,,Integer,1.0,Code
DE346,1,CDegreeOfSpreadID,Case,"A measure of the progression/extent of cancer at diagnosis, as represented by a code.",Integer,1.0,Code
DE378,0,CDiagnosisAge,Case,"Derived from NSWCR source system CRP005, CRC001, CRP006",,,
DE536,1,CDiagnosisClass,Case,,,,
DE190,1,CDiagnosisDate,Case,"The date on which the patient was first diagnosed with cancer (whether at its primary site or as a metastasis), expressed as DDMMYYYY.",Date,1.0,DDMMYYYY
DE445,1,CDiagnosisDateNotification,Case,"The date on which the patient was first diagnosed with cancer (whether at its primary site or as a metastasis), expressed as DDMMYYYY.",Date,1.0,DDMMYYYY
DE400,1,CDiagnosisDateValidityCode,Case,Flag identifying if diagnosis is estimated,varchar(5),1.0,Code
DE181,1,CDiagnosisDateValidityCodeNotification,Case,"An indicator of the accuracy of the components of a reported date, as represented by a code.",varchar(5),1.0,Code
DE377,0,CDiagnosisMonth,Case,Derived from NSWCR source system CRC001,,,
DE376,0,CDiagnosisYear,Case,Derived from NSWCR source system CRC001,,,
DE290,1,CDiseaseGradeSchemeID,Case,"The disease specific (histopathological) grading system used to record a specific measure of the aggressiveness of the cancer, as represented by a code. ",Integer,1.0,Code
DE145,1,CDiseaseGradeSchemeIDNotification,Case,"The disease specific (histopathological) grading system used to record a specific measure of the aggressiveness of the cancer, as represented by a code. ",Integer,1.0,Code
DE301,1,CDiseaseGradeSchemeVersion,Case,The version number of the disease specific (histopathological) grading system used to record a specific measure of the aggressiveness of the cancer.,Integer,1.0,Code
DE406,1,CDiseaseGradeSchemeVersion,Case,,Integer,1.0,Code
DE147,1,CDiseaseGradeSchemeVersionNotification,Case,The version number of the disease specific (histopathological) grading system used to record a specific measure of the aggressiveness of the cancer.,Integer,1.0,Edition Code
DE312,1,CDiseaseGradeScore,Case,"The disease specific grade, score or measurement is calculated by the pathologist and reported according to the disease specific grading system being used, as represented by a code.",Integer,1.0,Code
DE148,1,CDiseaseGradeScoreNotification,Case,"The disease specific grade, score or measurement is calculated by the pathologist and reported according to the disease specific grading system being used, as represented by a code.",Integer,1.0,Code
DE407,1,CDistanceFromAnalVerge,Case,,Float,1.0,Numeric Value (NNN.NN)
DE319,1,CDistanceFromAnalVergeNotification,Case,"The distal level of rectal cancer from the anal verge, measured in centimetres (cm).",Float,1.0,Numeric Value (NNN.NN)
DE408,1,CERStatusID ,Case,,Integer,1.0,Code
DE299,1,CERStatusIDNotification,Case,"The result of oestrogen receptor assay at the time of diagnosis of the primary breast tumour, as represented by a code.",Integer,1.0,Code
DE11,1,CFirstCancerConsultationDate,Case,"The date of the first consultation between a person with cancer and the cancer specialist (oncologist, haematologist or surgeon) during this course of treatment.",Date,1.0,DDMMYYYY
